!    1          2            3           4          5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76
! TEM(K)  log(PRE(N/m**2))  R/Rstar   log(d(cm-3))  H2           CO           C2H2         HCN          N2           CS           SiO          SiS          NaCl         KCl          AlCl         AlF          NaCN         HCP          C2           C3           C4           O2           OH           CO2          H2CO         HO2          H2O          H2O2         CH           CH2          CH3          CH4          C3H2         C4H2         C2H4         C2H          C3H          C4H          C2H3         C2H5         C2H6         NH           NH2          NH3          NO           CN           NCO          HCO          HCCO         CH2OH        CH3O         CH3OH        SH           H2S          SO           SO2          HCS          CS2          OCS          S2           NS           SiH          SiH2         SiH3         SiH4         SiO2         Si2          SiC          SiC2         SiCH         SiCH2        SiN          SiNH         Si2C         HNC          HF          
  2320.000  -.18287          1.00785   13.312      -1.3595      -3.3100      -5.7327      -5.2629      -4.5465      -4.9964      -10.008      -7.5677      -14.716      -17.255      -11.851      -10.907      -13.225      -8.3857      -5.2974      -5.6679      -11.664      -23.968      -12.721      -15.996      -16.206      -29.953      -13.294      -33.164      -6.6151      -8.3363      -9.8983      -12.546      -13.555      -10.111      -14.882      -5.5551      -9.4559      -10.546      -12.639      -21.823      -25.191      -9.9480      -12.536      -14.369      -15.628      -5.3087      -17.632      -12.269      -15.274      -23.785      -25.038      -26.921      -8.0185      -10.884      -16.862      -28.629      -10.877      -13.185      -14.264      -12.801      -12.907      -8.1940      -11.356      -17.139      -20.718      -24.209      -13.115      -9.2269      -8.0947      -10.891      -13.047      -10.282      -12.225      -13.263      -6.5745      -7.4507    
  2319.000  -.19356          1.00864   13.301      -1.3650      -3.3100      -5.7463      -5.2694      -4.5458      -4.9971      -10.011      -7.5702      -14.727      -17.267      -11.857      -10.908      -13.237      -8.3950      -5.3002      -5.6736      -11.675      -23.976      -12.728      -16.002      -16.222      -29.969      -13.306      -33.187      -6.6210      -8.3483      -9.9161      -12.570      -13.576      -10.132      -14.910      -5.5637      -9.4683      -10.563      -12.661      -21.859      -25.234      -9.9538      -12.549      -14.387      -15.632      -5.3100      -17.640      -12.278      -15.288      -23.810      -25.064      -26.952      -8.0231      -10.896      -16.867      -28.640      -10.886      -13.190      -14.270      -12.803      -12.910      -8.2014      -11.371      -17.161      -20.747      -24.220      -13.123      -9.2324      -8.1024      -10.903      -13.065      -10.286      -12.235      -13.273      -6.5817      -7.4508    
  2318.000  -.20426          1.00943   13.291      -1.3705      -3.3100      -5.7599      -5.2760      -4.5450      -4.9977      -10.015      -7.5728      -14.738      -17.278      -11.863      -10.908      -13.250      -8.4043      -5.3031      -5.6793      -11.686      -23.983      -12.735      -16.009      -16.238      -29.984      -13.319      -33.209      -6.6270      -8.3604      -9.9340      -12.594      -13.596      -10.154      -14.938      -5.5722      -9.4808      -10.580      -12.683      -21.896      -25.277      -9.9596      -12.561      -14.405      -15.636      -5.3113      -17.648      -12.288      -15.302      -23.836      -25.089      -26.984      -8.0278      -10.907      -16.871      -28.650      -10.895      -13.195      -14.276      -12.805      -12.913      -8.2088      -11.385      -17.183      -20.775      -24.231      -13.130      -9.2380      -8.1102      -10.914      -13.082      -10.291      -12.246      -13.284      -6.5890      -7.4510    
  2317.000  -.21495          1.01022   13.280      -1.3759      -3.3100      -5.7735      -5.2825      -4.5442      -4.9984      -10.019      -7.5754      -14.749      -17.290      -11.869      -10.908      -13.262      -8.4136      -5.3061      -5.6850      -11.697      -23.990      -12.742      -16.015      -16.255      -30.000      -13.331      -33.232      -6.6329      -8.3724      -9.9520      -12.618      -13.617      -10.175      -14.966      -5.5808      -9.4933      -10.597      -12.706      -21.933      -25.320      -9.9654      -12.573      -14.424      -15.640      -5.3126      -17.656      -12.298      -15.316      -23.861      -25.115      -27.016      -8.0325      -10.918      -16.875      -28.661      -10.904      -13.201      -14.282      -12.808      -12.916      -8.2162      -11.399      -17.206      -20.804      -24.242      -13.138      -9.2435      -8.1179      -10.926      -13.100      -10.295      -12.256      -13.295      -6.5963      -7.4511    
  2316.000  -.22565          1.01102   13.270      -1.3814      -3.3100      -5.7871      -5.2891      -4.5435      -4.9990      -10.023      -7.5779      -14.760      -17.302      -11.875      -10.909      -13.274      -8.4230      -5.3090      -5.6908      -11.708      -23.998      -12.748      -16.022      -16.271      -30.015      -13.343      -33.254      -6.6389      -8.3845      -9.9699      -12.642      -13.637      -10.197      -14.994      -5.5894      -9.5058      -10.613      -12.728      -21.970      -25.363      -9.9713      -12.586      -14.442      -15.645      -5.3140      -17.664      -12.307      -15.330      -23.887      -25.141      -27.048      -8.0371      -10.929      -16.880      -28.671      -10.914      -13.206      -14.288      -12.810      -12.919      -8.2237      -11.414      -17.228      -20.833      -24.253      -13.146      -9.2491      -8.1257      -10.938      -13.118      -10.299      -12.267      -13.305      -6.6037      -7.4512    
  2315.000  -.23635          1.01181   13.259      -1.3869      -3.3100      -5.8008      -5.2957      -4.5428      -4.9997      -10.026      -7.5804      -14.771      -17.313      -11.881      -10.909      -13.286      -8.4323      -5.3120      -5.6966      -11.719      -24.005      -12.755      -16.028      -16.287      -30.031      -13.355      -33.276      -6.6448      -8.3967      -9.9878      -12.666      -13.658      -10.219      -15.022      -5.5981      -9.5183      -10.630      -12.750      -22.007      -25.406      -9.9771      -12.598      -14.460      -15.649      -5.3153      -17.672      -12.317      -15.344      -23.912      -25.167      -27.079      -8.0418      -10.941      -16.884      -28.681      -10.923      -13.211      -14.294      -12.812      -12.922      -8.2311      -11.428      -17.250      -20.862      -24.264      -13.154      -9.2546      -8.1335      -10.950      -13.136      -10.304      -12.277      -13.316      -6.6110      -7.4513    
  2314.000  -.24705          1.01261   13.249      -1.3924      -3.3100      -5.8145      -5.3023      -4.5420      -5.0004      -10.030      -7.5830      -14.781      -17.325      -11.887      -10.909      -13.299      -8.4416      -5.3150      -5.7025      -11.730      -24.012      -12.762      -16.034      -16.304      -30.047      -13.367      -33.299      -6.6508      -8.4088      -10.006      -12.690      -13.678      -10.240      -15.050      -5.6067      -9.5309      -10.647      -12.772      -22.044      -25.449      -9.9830      -12.611      -14.479      -15.653      -5.3167      -17.680      -12.327      -15.358      -23.938      -25.192      -27.111      -8.0464      -10.952      -16.888      -28.692      -10.932      -13.216      -14.299      -12.815      -12.925      -8.2385      -11.443      -17.272      -20.891      -24.275      -13.161      -9.2602      -8.1413      -10.962      -13.154      -10.308      -12.288      -13.326      -6.6184      -7.4514    
  2313.000  -.25775          1.01340   13.238      -1.3979      -3.3100      -5.8282      -5.3090      -4.5413      -5.0011      -10.034      -7.5855      -14.792      -17.337      -11.893      -10.909      -13.311      -8.4510      -5.3180      -5.7083      -11.741      -24.020      -12.769      -16.041      -16.320      -30.062      -13.379      -33.321      -6.6568      -8.4210      -10.024      -12.714      -13.699      -10.262      -15.079      -5.6154      -9.5435      -10.664      -12.795      -22.081      -25.492      -9.9889      -12.623      -14.497      -15.657      -5.3181      -17.688      -12.337      -15.372      -23.963      -25.218      -27.143      -8.0511      -10.963      -16.892      -28.702      -10.941      -13.221      -14.305      -12.817      -12.928      -8.2459      -11.457      -17.295      -20.919      -24.286      -13.169      -9.2658      -8.1491      -10.973      -13.172      -10.312      -12.298      -13.337      -6.6258      -7.4515    
  2312.000  -.26845          1.01420   13.227      -1.4034      -3.3100      -5.8419      -5.3156      -4.5406      -5.0018      -10.037      -7.5880      -14.803      -17.348      -11.899      -10.910      -13.323      -8.4604      -5.3211      -5.7143      -11.752      -24.027      -12.775      -16.047      -16.336      -30.078      -13.392      -33.343      -6.6628      -8.4331      -10.042      -12.738      -13.720      -10.284      -15.107      -5.6241      -9.5561      -10.681      -12.817      -22.118      -25.535      -9.9948      -12.635      -14.515      -15.661      -5.3195      -17.696      -12.346      -15.386      -23.989      -25.244      -27.175      -8.0557      -10.974      -16.897      -28.713      -10.950      -13.226      -14.311      -12.819      -12.931      -8.2533      -11.472      -17.317      -20.948      -24.297      -13.177      -9.2714      -8.1569      -10.985      -13.189      -10.317      -12.308      -13.347      -6.6332      -7.4517    
  2311.000  -.27915          1.01500   13.217      -1.4089      -3.3100      -5.8557      -5.3223      -4.5399      -5.0025      -10.041      -7.5905      -14.814      -17.360      -11.905      -10.910      -13.336      -8.4697      -5.3241      -5.7202      -11.763      -24.034      -12.782      -16.054      -16.353      -30.093      -13.404      -33.365      -6.6689      -8.4453      -10.060      -12.762      -13.740      -10.305      -15.135      -5.6328      -9.5688      -10.698      -12.840      -22.155      -25.579      -10.001      -12.648      -14.533      -15.665      -5.3209      -17.704      -12.356      -15.400      -24.014      -25.270      -27.207      -8.0604      -10.985      -16.901      -28.723      -10.959      -13.232      -14.317      -12.821      -12.934      -8.2608      -11.486      -17.339      -20.977      -24.308      -13.185      -9.2770      -8.1648      -10.997      -13.207      -10.321      -12.319      -13.358      -6.6406      -7.4518    
