100   ! Number of radial points 
!                                                                                                                                                                                                               1  
!   r(cm)          n(H2)[cm-3]    Tk(K)          delv[km/s]     Vexp[km/s]     Tdust(K)       gas:dust                 x(He)             x(e-)             x(H)              x(H+)           SO
    0.33081E+15    0.52179E+08    0.46713E+03    0.10000E+01    0.18500E+02    0.59341E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.35862E+15    0.44401E+08    0.44505E+03    0.10000E+01    0.18500E+02    0.57456E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.38876E+15    0.37782E+08    0.42401E+03    0.10000E+01    0.18500E+02    0.55630E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.42144E+15    0.32150E+08    0.40397E+03    0.10000E+01    0.18500E+02    0.53863E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.45687E+15    0.27358E+08    0.38487E+03    0.10000E+01    0.18500E+02    0.52152E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.49527E+15    0.23280E+08    0.36668E+03    0.10000E+01    0.18500E+02    0.50495E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.53690E+15    0.19810E+08    0.34934E+03    0.10000E+01    0.18500E+02    0.48891E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.58203E+15    0.16857E+08    0.33283E+03    0.10000E+01    0.18500E+02    0.47338E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.63095E+15    0.14344E+08    0.31710E+03    0.10000E+01    0.18500E+02    0.45834E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.68398E+15    0.12206E+08    0.30211E+03    0.10000E+01    0.18500E+02    0.44378E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.74147E+15    0.10386E+08    0.28783E+03    0.10000E+01    0.18500E+02    0.42968E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.80380E+15    0.88382E+07    0.27422E+03    0.10000E+01    0.18500E+02    0.41603E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.87136E+15    0.75207E+07    0.26126E+03    0.10000E+01    0.18500E+02    0.40282E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.94461E+15    0.63997E+07    0.24891E+03    0.10000E+01    0.18500E+02    0.39002E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.10240E+16    0.54457E+07    0.23714E+03    0.10000E+01    0.18500E+02    0.37763E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.11101E+16    0.46340E+07    0.22593E+03    0.10000E+01    0.18500E+02    0.36563E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.12034E+16    0.39432E+07    0.21525E+03    0.10000E+01    0.18500E+02    0.35402E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.13045E+16    0.33554E+07    0.20508E+03    0.10000E+01    0.18500E+02    0.34277E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.14142E+16    0.28552E+07    0.19538E+03    0.10000E+01    0.18500E+02    0.33188E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.15331E+16    0.24296E+07    0.18615E+03    0.10000E+01    0.18500E+02    0.32134E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.16619E+16    0.20675E+07    0.17735E+03    0.10000E+01    0.18500E+02    0.31113E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.18016E+16    0.17593E+07    0.16896E+03    0.10000E+01    0.18500E+02    0.30125E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.19530E+16    0.14970E+07    0.16098E+03    0.10000E+01    0.18500E+02    0.29168E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.21172E+16    0.12739E+07    0.15337E+03    0.10000E+01    0.18500E+02    0.28241E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.22952E+16    0.10840E+07    0.14612E+03    0.10000E+01    0.18500E+02    0.27344E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.24881E+16    0.92241E+06    0.13921E+03    0.10000E+01    0.18500E+02    0.26475E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.26972E+16    0.78491E+06    0.13263E+03    0.10000E+01    0.18500E+02    0.25634E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.29239E+16    0.66791E+06    0.12636E+03    0.10000E+01    0.18500E+02    0.24820E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
